lotes_urbanos.codigo_ibge_municipio,lotes_urbanos.codigo_cartografico,lotes_urbanos.geometria,lotes_urbanos.area,testada_m,profundidade_m,Adjacente
4104501,01.03.002.3.0054.070A,"MULTIPOLYGON(((-53.80171611117089 -25.6806682008282,-53.80159716130499 -25.68027680656876,-53.80150117759909 -25.680300759236015,-53.801620127190546 -25.680692153596947,-53.80171611117089 -25.6806682008282)))",450.0000,9.98,45.12,
4104501,01.03.002.3.0054.0300,"MULTIPOLYGON(((-53.80246383455926 -25.68108982901844,-53.80234488174825 -25.680698435628713,-53.80215291403192 -25.680746341917825,-53.80227186629406 -25.68113773551053,-53.80246383455926 -25.68108982901844)))",900.0000,19.96,45.12,
4104501,01.02.002.0.0033.0300,"MULTIPOLYGON(((-53.80607404520966 -25.677380783283652,-53.80602117425228 -25.677206832222662,-53.80554127319938 -25.677326608183627,-53.80559414354708 -25.677500559470293,-53.80607404520966 -25.677380783283652)))",1000.0000,20.06,49.90,"Rua Otavio Kischner"
4104501,01.06.004.1.0014.04AA,"MULTIPOLYGON(((-53.81061971723908 -25.657617362208594,-53.81056685149992 -25.65744341220563,-53.810446897172845 -25.657473358399105,-53.81049976275987 -25.657647308458543,-53.81061971723908 -25.657617362208594)))",250.0000,12.48,20.06,
4104501,01.03.002.3.0054.0600,"MULTIPOLYGON(((-53.80190807899845 -25.680620295110337,-53.801789128583685 -25.680228901053848,-53.80159716130504 -25.68027680656876,-53.80171611117093 -25.6806682008282,-53.80181209510689 -25.680644247999332,-53.80190807899845 -25.680620295110337)))",900.0000,9.98,45.12,
4104501,01.02.002.0.0033.020A,"MULTIPOLYGON(((-53.80501785889021 -25.676708655666843,-53.8049649898264 -25.676534704051008,-53.80484501497147 -25.676564647280294,-53.804897883882596 -25.67673859894829,-53.80501785889021 -25.676708655666843)))",250.0000,12.48,20.06,
4104501,01.02.002.0.0033.0900,"MULTIPOLYGON(((-53.805243572792506 -25.677026615286486,-53.80519070322143 -25.67685266380263,-53.804710802443694 -25.676972436982943,-53.804763671405105 -25.677146388692346,-53.805243572792506 -25.677026615286486)))",1000.0000,20.06,49.90,
4104501,01.06.004.1.0014.1100,"MULTIPOLYGON(((-53.810770558609406 -25.656924687595588,-53.810744125815056 -25.656837712614923,-53.8106481628797 -25.656861669652198,-53.810360273807134 -25.656933540403475,-53.81016834753697 -25.656981453937405,-53.81019477996598 -25.657068429053222,-53.810770558609406 -25.656924687595588)))",600.0000,10.03,59.88,
4104501,01.02.002.0.0033.0400,"MULTIPOLYGON(((-53.805258211722865 -25.67758440190666,-53.80520534180194 -25.677410450462094,-53.80486940986064 -25.677494292004234,-53.8049222793548 -25.677668243606607,-53.805258211722865 -25.67758440190666)))",700.0000,20.06,34.93,Rua Otavio Kischner
4104501,01.03.002.3.0054.0100,"MULTIPOLYGON(((-53.80229201412081 -25.680524482953125,-53.802232538252184 -25.68032878615041,-53.802040571054235 -25.680376692247844,-53.80210004664842 -25.680572389152033,-53.80229201412081 -25.680524482953125)))",450.0000,19.96,22.56,
4104501,01.06.004.1.0014.040A,"MULTIPOLYGON(((-53.81049976275987 -25.657647308458543,-53.810446897172845 -25.657473358399105,-53.81032694277654 -25.65750330449883,-53.810379808211344 -25.657677254614565,-53.81049976275987 -25.657647308458543)))",250.0000,12.48,20.06,Rua Maranhao
4104501,01.06.004.1.0014.0100,"MULTIPOLYGON(((-53.811214170300964 -25.656346069660728,-53.81116130446968 -25.65617211987214,-53.811041351582915 -25.65620206644048,-53.81109421726189 -25.656376016285463,-53.811214170300964 -25.656346069660728)))",250.0000,12.48,20.06,Rua Guaranis
4104501,01.06.004.1.0014.020B,"MULTIPOLYGON(((-53.81030252546573 -25.656573661655273,-53.8102496607914 -25.656399711438176,-53.810129707377676 -25.656429657293344,-53.81018257189988 -25.65660360756692,-53.81030252546573 -25.656573661655273)))",250.0000,12.48,20.06,
4104501,01.02.002.0.0033.02AA,"MULTIPOLYGON(((-53.80508496461198 -25.676504760727795,-53.8049649898264 -25.676534704051008,-53.80501785889021 -25.676708655666843,-53.80507072813111 -25.67688260723863,-53.805190703221456 -25.67685266380263,-53.80508496461198 -25.676504760727795)))",500.0000,12.48,40.11,
4104501,01.02.002.0.0033.0800,"MULTIPOLYGON(((-53.80591543287029 -25.676858929993532,-53.80586256244568 -25.676684978825485,-53.80538266322176 -25.676804754109707,-53.805435533036714 -25.676978705503423,-53.80591543287029 -25.676858929993532)))",1000.0000,20.06,49.90,
4104501,01.03.002.3.0054.0700,"MULTIPOLYGON(((-53.80150117759909 -25.680300759236015,-53.8014051938488 -25.68032471184314,-53.801484493293636 -25.680585641504813,-53.801524143165814 -25.680716106305553,-53.801620127190546 -25.680692153596947,-53.80150117759909 -25.680300759236015)))",450.0000,9.98,45.12,
4104501,01.03.002.3.0054.040A,"MULTIPOLYGON(((-53.8016067473871 -25.680987907909344,-53.80157700981751 -25.68089005934197,-53.801385041390894 -25.680937964669006,-53.80141477882328 -25.681035813287117,-53.8016067473871 -25.680987907909344)))",225.0000,11.28,19.96,
4104501,01.06.004.1.0014.070A,"MULTIPOLYGON(((-53.81056886494553 -25.656600744589337,-53.810542432389546 -25.6565137695506,-53.810422478962344 -25.656543715649807,-53.81030252546573 -25.656573661655273,-53.81018257189988 -25.65660360756692,-53.81006261826471 -25.656633553384648,-53.810089050516254 -25.656720528536244,-53.81056886494553 -25.656600744589337)))",500.0000,10.03,49.90,
4104501,01.06.004.1.0014.160A,"MULTIPOLYGON(((-53.81078032699059 -25.65729654457858,-53.81075389407965 -25.65720956961113,-53.81027407751921 -25.657329354347414,-53.81030051012569 -25.65741632942754,-53.81078032699059 -25.65729654457858)))",500.0000,10.03,49.90,
4104501,01.06.004.1.0014.1300,"MULTIPOLYGON(((-53.81072746121313 -25.65712259463476,-53.810701028390994 -25.65703561964955,-53.81022121243936 -25.657155404160118,-53.810247644957094 -25.657242379258182,-53.81072746121313 -25.65712259463476)))",500.0000,10.03,49.90,
4104501,01.02.002.0.0033.1400,"MULTIPOLYGON(((-53.805349312467435 -25.677374518147236,-53.805296442541184 -25.677200566734747,-53.80481654054409 -25.677320340366087,-53.80486940986064 -25.677494292004234,-53.80520534180194 -25.677410450462094,-53.805349312467435 -25.677374518147236)))",1000.0000,14.97,49.90,
4104501,01.03.002.3.0054.0200,"MULTIPOLYGON(((-53.801484493293614 -25.680585641504813,-53.801405193848815 -25.68032471184314,-53.801213226215026 -25.68037261687702,-53.80129252529392 -25.680633546673985,-53.801484493293614 -25.680585641504813)))",600.0000,19.96,30.08,
4104501,01.02.002.0.0033.1100,"MULTIPOLYGON(((-53.805296442541184 -25.677200566734747,-53.805243572792506 -25.677026615286486,-53.804763671405105 -25.677146388692346,-53.80481654054409 -25.677320340366087,-53.805296442541184 -25.677200566734747)))",1000.0000,20.06,49.90,
4104501,01.06.004.1.0014.030C,"MULTIPOLYGON(((-53.811291461041655 -25.657449661475088,-53.811238594449925 -25.657275711787815,-53.81111864051119 -25.65730565850683,-53.81117150695069 -25.6574796082504,-53.811291461041655 -25.657449661475088)))",250.0000,12.48,20.06,
4104501,01.06.004.1.0014.1000,"MULTIPOLYGON(((-53.81137276885961 -25.656867918812388,-53.81131990249589 -25.6566939691309,-53.81084008870616 -25.656813755517852,-53.810744125815056 -25.656837712615012,-53.810770558609406 -25.656924687595588,-53.81079699144812 -25.657011662567257,-53.810892954461 -25.656987705424903,-53.81137276885961 -25.656867918812388)))",1200.0000,9.98,59.88,
4104501,01.02.002.0.0033.1300,"MULTIPOLYGON(((-53.80559414354708 -25.677500559470293,-53.80554127319938 -25.677326608183627,-53.80548840302925 -25.67715265686136,-53.805435533036714 -25.676978705503423,-53.805243572792506 -25.677026615286486,-53.805296442541184 -25.677200566734747,-53.805349312467435 -25.677374518147236,-53.805402182571264 -25.677548469524037,-53.80559414354708 -25.677500559470293)))",1200.0000,19.96,60.17,
4104501,01.06.004.1.0014.02AA,"MULTIPOLYGON(((-53.810542432389546 -25.6565137695506,-53.81048956741068 -25.656339819446163,-53.8103696141357 -25.65636976548908,-53.810422478962344 -25.656543715649807,-53.810542432389546 -25.6565137695506)))",250.0000,12.48,20.06,
4104501,01.03.002.3.0054.0800,"MULTIPOLYGON(((-53.80234488174825 -25.680698435628713,-53.80229201412081 -25.680524482953125,-53.80210004664842 -25.680572389152033,-53.80190807899845 -25.680620295110337,-53.80181209510689 -25.680644247999332,-53.80186496212448 -25.680818200900532,-53.80196094613802 -25.680794247966432,-53.80215291403192 -25.680746341917825,-53.80234488174825 -25.680698435628713)))",1000.0000,19.96,49.90,
4104501,01.02.002.0.0033.0100,"MULTIPOLYGON(((-53.80556014505775 -25.676573310839792,-53.80550727530531 -25.67639935948299,-53.80527692412458 -25.676456851215406,-53.805329793584384 -25.6766308026804,-53.80556014505775 -25.676573310839792)))",480.0000,20.06,23.95,
4104501,01.03.002.3.0054.020A,"MULTIPOLYGON(((-53.80152414316584 -25.680716106305553,-53.801484493293614 -25.680585641504813,-53.80129252529392 -25.680633546673985,-53.80133217498318 -25.68076401154238,-53.80152414316584 -25.680716106305553)))",300.0000,15.04,19.96,
4104501,01.02.002.0.0033.0200,"MULTIPOLYGON(((-53.80489788388261 -25.67673859894829,-53.804845014971505 -25.676564647280294,-53.804605065053586 -25.676624533456987,-53.80465793365985 -25.676798485237757,-53.80489788388261 -25.67673859894829)))",500.0000,20.06,24.95,Rua Minas Gerais
4104501,01.03.002.3.0054.1100,"MULTIPOLYGON(((-53.80207989785128 -25.68118564176211,-53.80196094613802 -25.680794247966432,-53.80186496212448 -25.680818200900532,-53.80176897806654 -25.68084215377442,-53.801887929230915 -25.68123354777315,-53.80207989785128 -25.68118564176211)))",900.0000,19.96,45.12,
4104501,01.06.004.1.0014.110A,"MULTIPOLYGON(((-53.81079699144812 -25.657011662567257,-53.810770558609406 -25.656924687595588,-53.81019477996598 -25.657068429053314,-53.81022121243936 -25.657155404160214,-53.810701028390994 -25.65703561964955,-53.81079699144812 -25.657011662567257)))",600.0000,9.98,59.88,
4104501,01.03.002.3.0054.04AA,"MULTIPOLYGON(((-53.80163648501288 -25.68108575646535,-53.8016067473871 -25.680987907909344,-53.80141477882328 -25.681035813287117,-53.801444516311825 -25.681133661893856,-53.80163648501288 -25.68108575646535)))",225.0000,11.28,19.96,
4104501,01.06.004.1.0014.0600,"MULTIPOLYGON(((-53.81084008870616 -25.656813755517852,-53.81081365589529 -25.6567267805509,-53.810787223128784 -25.656639805575022,-53.81073435772889 -25.65646585559659,-53.810681492506575 -25.656291905582464,-53.810585529980806 -25.656315862544385,-53.810744125815056 -25.656837712615012,-53.81084008870616 -25.656813755517852)))",600.0000,9.98,60.17,
4104501,01.06.004.1.0014.0500,"MULTIPOLYGON(((-53.81126703630973 -25.65652001941371,-53.811214170300964 -25.656346069660728,-53.81109421726189 -25.656376016285463,-53.810974264153586 -25.65640596281636,-53.81073435772889 -25.65646585559659,-53.810787223128784 -25.656639805575022,-53.81126703630973 -25.65652001941371)))",1000.0000,20.06,49.90,
4104501,01.06.004.1.0014.0900,"MULTIPOLYGON(((-53.81031798181818 -25.656794380271723,-53.81012605574291 -25.65684229373339,-53.81016834753697 -25.656981453937405,-53.810360273807134 -25.656933540403475,-53.81031798181818 -25.656794380271723)))",320.0000,16.04,19.96,
4104501,01.02.002.0.0033.1200,"MULTIPOLYGON(((-53.80602117425228 -25.677206832222662,-53.80596830347249 -25.677032881125893,-53.80548840302925 -25.67715265686136,-53.80554127319938 -25.677326608183627,-53.80602117425228 -25.677206832222662)))",1000.0000,20.06,49.90,
4104501,01.06.004.1.0014.0800,"MULTIPOLYGON(((-53.81129346938057 -25.656606994276714,-53.81126703630973 -25.65652001941371,-53.810787223128784 -25.656639805575022,-53.81081365589529 -25.6567267805509,-53.81129346938057 -25.656606994276714)))",500.0000,10.03,49.90,
4104501,01.02.002.0.0033.0500,"MULTIPOLYGON(((-53.805435533036714 -25.676978705503423,-53.80538266322176 -25.676804754109707,-53.805329793584384 -25.6766308026804,-53.80527692412458 -25.676456851215406,-53.80508496461198 -25.676504760727795,-53.80513783382791 -25.6766787122831,-53.80519070322143 -25.67685266380263,-53.805243572792506 -25.677026615286486,-53.805435533036714 -25.676978705503423)))",1200.0000,19.96,60.17,
4104501,01.03.002.3.0054.1000,"MULTIPOLYGON(((-53.80227186629405 -25.68113773551053,-53.80215291403192 -25.680746341917825,-53.80196094613805 -25.680794247966432,-53.80198290720002 -25.6808665079723,-53.802045296817965 -25.680850938520717,-53.80211849716441 -25.681091793525265,-53.802152091625395 -25.68108340994201,-53.802175882094865 -25.68116168866638,-53.80227186629405 -25.68113773551053)))",630.0020,3.49,45.12,
4104501,01.06.004.1.0014.0200,"MULTIPOLYGON(((-53.81018257189988 -25.65660360756692,-53.810129707377676 -25.656429657293344,-53.81000975389472 -25.656459603054778,-53.81006261826471 -25.656633553384648,-53.81018257189988 -25.65660360756692)))",250.0000,12.48,20.06,Rua Tapajos
4104501,01.02.002.0.0033.040A,"MULTIPOLYGON(((-53.805402182571264 -25.677548469524037,-53.805349312467435 -25.677374518147236,-53.80520534180194 -25.677410450462094,-53.805258211722865 -25.67758440190666,-53.805402182571264 -25.677548469524037)))",300.0000,14.97,20.06,
4104501,01.02.002.0.0033.0600,"MULTIPOLYGON(((-53.80586256244568 -25.676684978825485,-53.80580969219866 -25.676511027621654,-53.80556014505775 -25.676573310839792,-53.805329793584384 -25.6766308026804,-53.80538266322176 -25.676804754109707,-53.80586256244568 -25.676684978825485)))",1000.0000,20.06,49.90,
4104501,01.06.004.1.0014.0300,"MULTIPOLYGON(((-53.81141141506329 -25.65741971460586,-53.81135854831943 -25.657245764975062,-53.811238594449925 -25.657275711787815,-53.811291461041655 -25.657449661475088,-53.81141141506329 -25.65741971460586)))",250.0000,12.48,20.06,
4104501,01.06.004.1.0014.030B,"MULTIPOLYGON(((-53.81153136901568 -25.6573897676428,-53.811478502119506 -25.65721581806839,-53.81135854831943 -25.657245764975062,-53.81141141506329 -25.65741971460586,-53.81153136901568 -25.6573897676428)))",250.0000,12.48,20.06,Rua Guaranis
4104501,01.03.002.3.0054.1200,"MULTIPOLYGON(((-53.801887929230915 -25.68123354777315,-53.80176897806654 -25.68084215377442,-53.80157700981751 -25.68089005934197,-53.8016067473871 -25.680987907909344,-53.80163648501288 -25.68108575646535,-53.80169596043299 -25.681281453543583,-53.801887929230915 -25.68123354777315)))",900.0000,19.96,45.12,
4104501,01.06.004.1.0014.060A,"MULTIPOLYGON(((-53.810744125815056 -25.656837712615012,-53.810585529980806 -25.656315862544385,-53.81048956741068 -25.656339819446163,-53.810542432389546 -25.6565137695506,-53.81056886494553 -25.656600744589337,-53.81059529754589 -25.656687719619242,-53.8106481628797 -25.656861669652294,-53.810744125815056 -25.656837712615012)))",600.0000,9.98,60.17,
4104501,01.03.002.3.0054.0400,"MULTIPOLYGON(((-53.80169596043299 -25.681281453543583,-53.80163648501288 -25.68108575646535,-53.801444516311825 -25.681133661893856,-53.80150399145749 -25.68132935907358,-53.80169596043299 -25.681281453543583)))",450.0000,19.96,22.56,
4104501,01.06.004.1.0014.040B,"MULTIPOLYGON(((-53.81073967164906 -25.65758741586481,-53.81068680575756 -25.65741346591824,-53.81056685149992 -25.65744341220563,-53.81061971723908 -25.657617362208594,-53.81073967164906 -25.65758741586481)))",250.0000,12.48,20.06,
4104501,01.03.002.3.0054.0500,"MULTIPOLYGON(((-53.80210004664842 -25.680572389152033,-53.802040571054235 -25.680376692247844,-53.80198109568479 -25.680180995298507,-53.801789128583685 -25.680228901053848,-53.80190807899845 -25.680620295110337,-53.80210004664842 -25.680572389152033)))",900.0000,19.96,45.12,
4104501,01.06.004.1.0014.1500,"MULTIPOLYGON(((-53.811051552790296 -25.657509554931977,-53.81099868650312 -25.65733560513192,-53.810945820393314 -25.65716165529616,-53.810892954461 -25.656987705424903,-53.81079699144812 -25.65701166256716,-53.810701028390994 -25.65703561964955,-53.81072746121313 -25.65712259463476,-53.81075389407965 -25.65720956961113,-53.81078032699058 -25.65729654457849,-53.81080675994588 -25.657383519536925,-53.8108592546235 -25.65755624749002,-53.81085962598961 -25.657557469427196,-53.811051552790296 -25.657509554931977)))",1200.0000,19.96,60.17,
4104501,01.03.002.3.0054.010A,"MULTIPOLYGON(((-53.802232538252184 -25.68032878615041,-53.80217306260831 -25.680133089302565,-53.80198109568479 -25.680180995298507,-53.802040571054235 -25.680376692247844,-53.802232538252184 -25.68032878615041)))",450.0000,19.96,22.56,
4104501,01.06.004.1.0014.010B,"MULTIPOLYGON(((-53.81109421726189 -25.656376016285463,-53.811041351582915 -25.65620206644048,-53.810921398626725 -25.656232012914913,-53.810974264153586 -25.65640596281636,-53.81109421726189 -25.656376016285463)))",250.0000,12.48,20.06,
4104501,01.06.004.1.0014.1600,"MULTIPOLYGON(((-53.81080675994589 -25.657383519537017,-53.81078032699059 -25.65729654457858,-53.81030051012569 -25.65741632942754,-53.81032694277654 -25.65750330449883,-53.810446897172845 -25.657473358399105,-53.81056685149992 -25.65744341220563,-53.81068680575756 -25.65741346591824,-53.81080675994589 -25.657383519537017)))",500.0000,10.03,49.90,
4104501,01.02.002.0.0033.1000,"MULTIPOLYGON(((-53.80596830347249 -25.677032881125893,-53.80591543287029 -25.676858929993532,-53.805435533036714 -25.676978705503423,-53.80548840302925 -25.67715265686136,-53.80596830347249 -25.677032881125893)))",1000.0000,20.06,49.90,
4104501,01.02.002.0.0033.010A,"MULTIPOLYGON(((-53.80580969219866 -25.676511027621654,-53.80575682212921 -25.67633707638224,-53.80550727530531 -25.67639935948299,-53.80556014505775 -25.676573310839792,-53.80580969219866 -25.676511027621654)))",520.0000,20.06,25.95,"Rua Otavio Francisco de Mattos"
4104501,01.06.004.1.0014.020A,"MULTIPOLYGON(((-53.810422478962344 -25.656543715649807,-53.8103696141357 -25.65636976548908,-53.8102496607914 -25.656399711438176,-53.81030252546573 -25.656573661655273,-53.810422478962344 -25.656543715649807)))",250.0000,12.48,20.06,
4104501,01.06.004.1.0014.0400,"MULTIPOLYGON(((-53.81085962598961 -25.65755746942729,-53.8108592546235 -25.65755624749002,-53.81080675994589 -25.657383519537017,-53.81068680575756 -25.65741346591824,-53.81073967164906 -25.65758741586481,-53.81085962598961 -25.65755746942729)))",250.0000,12.48,20.06,
4104501,01.06.004.1.0014.0700,"MULTIPOLYGON(((-53.81059529754589 -25.656687719619242,-53.81056886494553 -25.656600744589337,-53.810089050516254 -25.656720528536244,-53.810115482812165 -25.65680750367891,-53.81059529754589 -25.656687719619242)))",500.0000,10.03,49.90,
4104501,01.03.002.3.0054.0900,"MULTIPOLYGON(((-53.80186496212448 -25.680818200900532,-53.801812095106875 -25.680644247999332,-53.80171611117089 -25.6806682008282,-53.801620127190546 -25.680692153596947,-53.801524143165814 -25.680716106305553,-53.801332174983195 -25.68076401154238,-53.80138504139093 -25.680937964669006,-53.80157700981751 -25.68089005934197,-53.80176897806651 -25.68084215377442,-53.80186496212448 -25.680818200900532)))",1000.0000,9.98,49.90,
4104501,01.06.004.1.0014.1200,"MULTIPOLYGON(((-53.811425635400816 -25.657041868458272,-53.81137276885961 -25.656867918812388,-53.810892954461 -25.656987705424903,-53.81094582039332 -25.657161655296257,-53.811425635400816 -25.657041868458272)))",1000.0000,20.06,49.90,
4104501,01.06.004.1.0014.1400,"MULTIPOLYGON(((-53.811478502119506 -25.65721581806839,-53.811425635400816 -25.657041868458272,-53.81094582039332 -25.657161655296257,-53.81099868650312 -25.65733560513201,-53.81111864051119 -25.65730565850683,-53.811238594449925 -25.657275711787815,-53.81135854831943 -25.657245764975062,-53.811478502119506 -25.65721581806839)))",1000.0000,12.48,49.90,
4104501,01.02.002.0.0033.0700,"MULTIPOLYGON(((-53.80507072813016 -25.676882607238827,-53.80501785889021 -25.676708655666843,-53.804897883882596 -25.67673859894829,-53.804657933659804 -25.676798485237757,-53.80471080244366 -25.676972436982943,-53.80507072813016 -25.676882607238827)))",750.0000,20.06,37.43,
4104501,01.06.004.1.0014.030A,"MULTIPOLYGON(((-53.81117150695069 -25.6574796082504,-53.81111864051119 -25.65730565850683,-53.81099868650312 -25.65733560513201,-53.811051552790296 -25.657509554931977,-53.81117150695069 -25.6574796082504)))",250.0000,12.48,20.06,
4104501,01.06.004.1.0014.010A,"MULTIPOLYGON(((-53.810974264153586 -25.65640596281636,-53.810921398626725 -25.656232012914913,-53.810681492506575 -25.656291905582464,-53.81073435772889 -25.65646585559659,-53.810974264153586 -25.65640596281636)))",500.0000,20.06,24.95,
4104501,01.03.002.3.0054.100A,"MULTIPOLYGON(((-53.8020798978513 -25.68118564176211,-53.802175882094865 -25.68116168866638,-53.802152091625395 -25.68108340994201,-53.80211849716441 -25.681091793525265,-53.802045296817965 -25.680850938520717,-53.80198290720002 -25.6808665079723,-53.8020798978513 -25.68118564176211)))",269.9980,3.49,36.79,
4104501,01.06.004.1.0014.080A,"MULTIPOLYGON(((-53.81131990249589 -25.6566939691309,-53.81129346938057 -25.656606994276714,-53.81081365589529 -25.6567267805509,-53.81084008870616 -25.656813755517852,-53.81131990249589 -25.6566939691309)))",500.0000,10.03,49.90,
4104501,01.06.004.1.0014.130A,"MULTIPOLYGON(((-53.810247644957094 -25.657242379258182,-53.81027407751921 -25.657329354347322,-53.81075389407965 -25.65720956961113,-53.81072746121313 -25.65712259463476,-53.810247644957094 -25.657242379258182)))",500.0000,10.03,49.90,
4104501,01.06.004.1.0014.090A,"MULTIPOLYGON(((-53.81012605574291 -25.65684229373339,-53.81031798181818 -25.656794380271723,-53.810360273807134 -25.656933540403475,-53.8106481628797 -25.656861669652198,-53.81059529754589 -25.656687719619153,-53.810115482812165 -25.65680750367891,-53.81012605574291 -25.65684229373339)))",680.0000,4.01,49.90,