01.03.002.3.0054.0100,19.83,22.74
01.03.002.3.0054.010A,19.83,22.74
01.03.002.3.0054.0200,19.83,30.32
01.03.002.3.0054.020A,15.16,19.83
01.03.002.3.0054.0300,19.83,45.48
01.03.002.3.0054.0400,19.83,22.74
01.03.002.3.0054.040A,11.37,19.83
01.03.002.3.0054.04AA,11.37,19.83
01.03.002.3.0054.0500,19.83,45.48
01.03.002.3.0054.0600,9.91,45.48
01.03.002.3.0054.0700,9.91,45.48
01.03.002.3.0054.070A,9.91,45.48
01.03.002.3.0054.0800,9.91,20.21
01.03.002.3.0054.0900,9.91,20.21
01.03.002.3.0054.1000,6.44,45.48
01.03.002.3.0054.100A,6.44,37.08
01.03.002.3.0054.1100,9.91,45.48
01.03.002.3.0054.1200,11.37,45.48