CODIGO,FACE,QLAT,QLNG,V1LAT,V1LNG,D1,V2LAT,V2LNG,D2
01.01.004.0.0043,,-25.665317600982924,-53.80900488726637,-25.6653895,-53.8083617,0.0006471934241605219,-25.6653895,-53.8083617,0.0006471934241605219
01.01.004.0.0043,,-25.66569571184111,-53.80973931533663,-25.6650453,-53.809681,0.0006530208584291199,-25.6662853,-53.8100603,0.0006713012373171331
01.01.004.0.0043,,-25.666361302269763,-53.80932209895849,-25.6666162,-53.8087256,0.0006486785493260082,-25.6666162,-53.8087256,0.0006486785493260082
01.01.004.0.0043,,-25.665983191411577,-53.80858767088823,-25.6663907,-53.8086572,0.00041339756533227353,-25.6653895,-53.8083617,0.0006352419495815955
01.01.004.0.0047,,-25.667749791495837,-53.80974600710908,-25.6678005,-53.8091071,0.0006409162553912422,-25.6674715,-53.8104232,0.0007321450458582972
01.01.004.0.0047,,-25.668127897061567,-53.81048045285419,-25.6686947,-53.8107974,0.0006494005422314064,-25.6674715,-53.8104232,0.0006588892105235877
01.01.004.0.0047,,-25.66879348978258,-53.81006323371216,-25.6690607,-53.809407,0.000708550622936766,-25.6686947,-53.8107974,0.0007407830717190706
01.01.004.0.0047,,-25.66841538421685,-53.80932878796704,-25.6683744,-53.809092,0.00024030865020994942,-25.6682752,-53.8090614,0.0003019071704562826
01.04.004.0.0036,,-25.663428688068137,-53.81130654354788,-25.6635154,-53.8106187,0.0006932876066159566,-25.6631729,-53.8119854,0.0007254471851106708
01.04.004.0.0036,,-25.663806787770607,-53.812040965506554,-25.6631729,-53.8119854,0.000636318498273501,-25.664381,-53.8123585,0.0006561614427197128
01.04.004.0.0036,,-25.664472383319232,-53.81162376811899,-25.6647213,-53.810987,0.0006836908302236763,-25.664381,-53.8123585,0.0007403930361688501
01.04.004.0.0036,,-25.664094283616762,-53.81088934616031,-25.6647213,-53.810987,0.0006345753046362861,-25.6635154,-53.8106187,0.0006390270619032879
01.05.004.1.0019,,-25.65804105211099,-53.8096683362085,-25.6581127,-53.8089745,0.0006975257014853878,-25.6577791,-53.8103197,0.0007020638840775572
01.05.004.1.0019,,-25.6585061384776,-53.81042915234269,-25.6577791,-53.8103197,0.0007352310951194062,-25.6591833,-53.8107533,0.0007507459165115909
01.05.004.1.0019,,-25.659258704187394,-53.8100383936695,-25.6595238,-53.8093995,0.0006917086892556832,-25.6591833,-53.8107533,0.0007188719307823955
01.05.004.1.0019,,-25.658793617820784,-53.809277577535305,-25.6582582,-53.8090181,0.0005949796922086549,-25.6595238,-53.8093995,0.0007402912279904473
01.04.001.0.0036,,-25.66650940060148,-53.79902037691621,-25.6666248,-53.7982697,0.0007594951308023427,-25.6662294,-53.7997491,0.0007806648894864339
01.04.001.0.0036,,-25.66686361346996,-53.79985076021785,-25.6674191,-53.8001122,0.0006139348864059791,-25.6662294,-53.7997491,0.0006423095245861786
01.04.001.0.0036,,-25.667553130487107,-53.799337507936656,-25.6677975,-53.798636,0.0007428525048886755,-25.6674191,-53.8001122,0.0007862009695263096
01.04.001.0.0036,,-25.667198917618627,-53.79850712463502,-25.6662294,-53.7997491,0.0015755847232185492,-25.6674191,-53.8001122,0.0016201071595193645
01.03.001.2.0048,,-25.67016206088527,-53.800145023745706,-25.6702495,-53.7994051,0.0007450723107476667,-25.6698613,-53.8008634,0.0007787949363199793
01.03.001.2.0048,,-25.670516264795197,-53.80097543617783,-25.6711035,-53.8012486,0.0006476601419766293,-25.6698613,-53.8008634,0.0006644779816434065
01.03.001.2.0048,,-25.671205786237476,-53.800462177247255,-25.6714752,-53.7997672,0.0007453704781126054,-25.6711035,-53.8012486,0.0007930467958536995
01.03.001.2.0048,,-25.67085158232755,-53.79963176481513,-25.6714752,-53.7997672,0.0006381549112015971,-25.6702495,-53.7994051,0.0006433351129590647
01.03.002.4.0050,,-25.678825944977742,-53.80739284416616,-25.678927,-53.806674,0.0007259125654951198,-25.6787937,-53.8066346,0.0007589294790035106
01.03.002.4.0050,,-25.679148591153982,-53.80816212704886,-25.678564,-53.8081104,0.0005868752038522883,-25.6796725,-53.8084383,0.0005922431746126195
01.03.002.4.0050,,-25.67978267120034,-53.80768365258019,-25.6800246,-53.8070023,0.0007230289638963965,-25.6796725,-53.8084383,0.0007626469836113788
01.03.002.4.0050,,-25.6794600250241,-53.80691436969749,-25.6800246,-53.8070023,0.0005713813450866446,-25.678927,-53.806674,0.0005847163994483191
01.04.002.12.0284,,-25.679111238673975,-53.789442031126164,-25.6791206,-53.789152,0.00029018216445559817,-25.6789833,-53.789722,0.00030781630011184134
01.04.002.12.0284,,-25.6795822315026,-53.78980454952111,-25.6800863,-53.7900636,0.0005667382117752691,-25.6789833,-53.789722,0.0006045935562374787
01.04.002.12.0284,,-25.680154991762286,-53.7897591262096,-25.6802392,-53.7894989,0.00027351180498091606,-25.6800863,-53.7900636,0.00031212633219098574
01.04.002.12.0284,,-25.679683998933662,-53.78939660781466,-25.6802392,-53.7894989,0.0005645457600969381,-25.6791206,-53.789152,0.0006142078975735969
01.04.002.12.0381,,-25.685001651994064,-53.78763897542295,-25.6848409,-53.7879244,0.0003275795976243448,-25.6849875,-53.787293,0.0003462647429686662
01.04.002.12.0381,,-25.68541228084201,-53.78802070866172,-25.6859125,-53.7882471,0.0005490648814763023,-25.6848409,-53.7879244,0.0005794406138122653
01.04.002.12.0381,,-25.68597164150378,-53.78793122434632,-25.6859125,-53.7882471,0.0003213645065260699,-25.6861603,-53.7876557,0.00033392468254388955
01.04.002.12.0381,,-25.68556101265584,-53.78754949110754,-25.6851881,-53.7866824,0.0009438807327549174,-25.6864407,-53.7870736,0.0010001610718837148
01.03.002.3.0084,,-25.683149237392538,-53.80134609521431,-25.6830589,-53.8013898,0.00010035413684980844,-25.682931,-53.8019016,0.0005968359292328769
01.03.002.3.0084,,-25.683899236772543,-53.80209037142366,-25.6847714,-53.8024655,0.0009494156856249947,-25.682931,-53.8019016,0.0009864669777012605
01.03.002.3.0084,,-25.684888765607177,-53.801874781549806,-25.6851144,-53.8013302,0.000589474294275034,-25.6847714,-53.8024655,0.0006022648695914354
01.03.002.3.0084,,-25.68413876622717,-53.80113050534045,-25.6832188,-53.8007504,0.0009953983770230707,-25.6851144,-53.8013302,0.000995861042382939
01.06.004.1.0002,,-25.653202738525145,-53.8110906251779,-25.6552632,-53.8024077,0.008924051273623538,-25.6555756,-53.8011273,0.010241988097015795
01.06.004.1.0002,,-25.65366966591375,-53.81185003569268,0,0,0,0,0,0
01.06.004.1.0002,,-25.65442128211744,-53.81145707551037,-25.654382,-53.812147,0.0006910418845107749,-25.6547103,-53.8108146,0.0007044899700230204
01.06.004.1.0002,,-25.653954354728832,-53.81069766499559,-25.6532896,-53.810379,0.0007371880553271915,-25.6547103,-53.8108146,0.0007649359765764325
01.06.004.1.0008,,-25.654585955738025,-53.811499115185605,-25.654382,-53.812147,0.0006792294721241622,-25.6547103,-53.8108146,0.0006957172808038681
01.06.004.1.0008,,-25.655051033982687,-53.81225991412869,0,0,0,0,0,0
01.06.004.1.0008,,-25.655803603006195,-53.81186917653096,-25.6560524,-53.8112258,0.0006898067154761174,-25.6557194,-53.8125676,0.0007034809793855691
01.06.004.1.0008,,-25.655338524761532,-53.81110837758787,-25.6547103,-53.8108146,0.0006935211764148162,-25.6560524,-53.8112258,0.0007234679529654552
01.06.004.1.0013,,-25.655975657860232,-53.81192320527459,-25.6557194,-53.8125676,0.0006934786608619265,-25.6560524,-53.8112258,0.0007016149036591735
01.06.004.1.0013,,-25.656440732934684,-53.812684015023066,0,0,0,0,0,0
01.06.004.1.0013,,-25.657193303126213,-53.81229327656254,-25.6574455,-53.8116652,0.0006768186105323743,-25.6571136,-53.8129877,0.0006989824739006127
01.06.004.1.0013,,-25.656728228051765,-53.81153246681407,-25.6574455,-53.8116652,0.0007294498929833153,-25.6560524,-53.8112258,0.0007421509889529793
01.04.001.1.0116,,-25.653919027804562,-53.79994794101337,-25.6537611,-53.8001594,0.000263924410540006,-25.6538895,-53.799659,0.0002904458649241882
01.04.001.1.0116,,-25.6543078121262,-53.800264793812005,-25.654775,-53.8004733,0.0005116046714605207,-25.6537611,-53.8001594,0.0005567782364111921
01.04.001.1.0116,,-25.65478880419245,-53.800212185898445,-25.654775,-53.8004733,0.00026147873672633965,-25.6548998,-53.7999734,0.000263322567567579
01.04.001.1.0116,,-25.654400019870813,-53.79989533309981,-25.6548998,-53.7999734,0.0005058405069127026,-25.6538895,-53.799659,0.00056256899360395
01.04.002.12.0285,,-25.67896158126574,-53.790041942522464,-25.6788458,-53.790293,0.00027646909144000753,-25.6789833,-53.789722,0.00032067884417289746
01.04.002.12.0285,,-25.679432573275278,-53.79040446233398,-25.6799348,-53.7906228,0.0005476340196056466,-25.6788458,-53.790293,0.0005972660449716951
01.04.002.12.0285,,-25.68000533291179,-53.790359041191344,-25.6799348,-53.7906228,0.00027302674006331114,-25.6800863,-53.7900636,0.0003063350566192141
01.04.002.12.0285,,-25.679534340902247,-53.78999652137983,-25.6800863,-53.7900636,0.0005560201317183446,-25.6789833,-53.789722,0.0006156363081674976
